id,s_fs_lev,level_description,s_fs_name_v
134,4.0,certificate iv,Certificate IV in Accounting and Bookkeeping
135,8.0,bachelor,Bachelor Laws
136,8.0,bachelor,Bachelor of Aerospace Engineering (Honours) at Monash University.
137,4.0,certificate iv,Cert IV TAE
138,8.0,bachelor,Bachelor of nursing
139,4.0,certificate iv,Physiotherapy
140,8.0,bachelor,Bachelor in Information Technology
141,7.0,advanced diploma,Advanced Diploma of Music Industry (Sound Production)
142,6.0,diploma,Diploma  of Accounting
143,2.0,certificate ii,Cert II in Auslan
144,3.0,certificate iii,Certificate III Business
145,3.0,certificate iii,Certificate lll of employment
146,8.0,bachelor,Bachelor of nursing
147,8.0,bachelor,Bachelor of Arts
148,10.0,,RMIT Future Skills CX Design
149,7.0,advanced diploma,Advanved Diploma of Accounting
150,3.0,certificate iii,Sport and recreation
151,6.0,diploma,diploma of early childhood and education care
152,8.0,bachelor,Bachelor of Computer Science
153,7.0,advanced diploma,Advanced diploma agribusiness management
154,4.0,certificate iv,Disability
155,3.0,certificate iii,cert 3 in process manufacturing
156,4.0,certificate iv,Cert 1V Photography
157,4.0,certificate iv,Certificate 4 in education support
158,6.0,diploma,Diploma of Accounting
159,4.0,certificate iv,TAE
160,3.0,certificate iii,Commercial Cookery
161,3.0,certificate iii,Certificate III in Education Support. I started again with another RTO.
162,4.0,certificate iv,Certificate IV in health and leisure
163,1.0,certificate i,Certificate 1 in polymer processing
164,8.0,bachelor,Bachelor of Animal and Veterinary Biosciences
165,7.0,advanced diploma,Adv Dip of Accounting
166,8.0,bachelor,bachelor of science
167,8.0,bachelor,Ass. Deg. Information Technology
168,3.0,certificate iii,Hairdressing
169,9.0,higher than a degree,Graduate Certificate in Teaching English to speakers of other languages
170,4.0,certificate iv,Cert 4 in building and construction- with the builders academy
171,8.0,bachelor,Bachelor of Business Information Sytems
172,4.0,certificate iv,CERTIFICATE 4 COMMERCIAL COOKERY
173,3.0,certificate iii,Certificate III in carpentry
174,3.0,certificate iii,elctronics and communication
175,8.0,bachelor,Bachelor of Information Technology
176,8.0,bachelor,Bachelor Exercise and sport science
177,4.0,certificate iv,"Certificate 4, Veterinary Nursing"
178,6.0,diploma,accountant
179,3.0,certificate iii,This is still same course as it is part time and over two years
180,7.0,advanced diploma,Advanced Diploma of Accounting
181,4.0,certificate iv,Cyber Security
182,1.0,certificate i,Litracy 2
183,6.0,diploma,Child care Community service
184,4.0,certificate iv,Disability cert 4
185,4.0,certificate iv,Cppc41212 I think Nathers energy rating
186,8.0,bachelor,Bachelor of early learning
187,8.0,bachelor,Oral Health
188,4.0,certificate iv,Certificate IV in Bookkeeping & Accounting
189,3.0,certificate iii,Comprehend and deliver spoken procedural texts. Apply routine English Languge   skills for job seeking.
190,4.0,certificate iv,Certificate IV in cyber security
191,4.0,certificate iv,None of your business
192,1.0,certificate i,Certificate 1 in transition education
193,3.0,certificate iii,Control room operator
194,6.0,diploma,Diploma of Early Childhood Education and Care Services
195,3.0,certificate iii,Completing my certificate 3 in early childhood education and care
196,6.0,diploma,community development
197,7.0,advanced diploma,Building design
198,3.0,certificate iii,Cert 3 Dental Assistance
199,4.0,certificate iv,Human Resources
200,3.0,certificate iii,Cert 3 Early Childhood Ed and Care
201,4.0,certificate iv,Beauty Therapy
202,4.0,certificate iv,Instruments and control
203,4.0,certificate iv,Certificate 4 in spoken and written English
204,6.0,diploma,Community services
205,3.0,certificate iii,Certificate lll Accounts And Admin
206,8.0,bachelor,Bachelor of Business Tourism Management
207,3.0,certificate iii,Certificate III in makeup
208,6.0,diploma,Diploma in Construction
209,3.0,certificate iii,Cert 3 in carpentry
210,8.0,bachelor,I was already studding an undergraduate arts degree at the time
211,6.0,diploma,Diploma of professional writing and editing
212,3.0,certificate iii,Individual support
213,6.0,diploma,Dip business management / building
214,4.0,certificate iv,Community service
215,6.0,diploma,dimploma
216,10.0,,Water Quality
217,4.0,certificate iv,Certificate 4 in education support
218,10.0,,First aid
219,8.0,bachelor,Bachelor of Education
220,4.0,certificate iv,Design certificate IV
221,6.0,diploma,Community Sevices - CAse Management 12 months Free TAFE
222,4.0,certificate iv,Cert IV Bookkeeping and Accounting
223,4.0,certificate iv,Crr1v in support ageing
224,8.0,bachelor,DErmal therapy
225,6.0,diploma,Diploma of digital media
226,6.0,diploma,Diploma of sport development
227,6.0,diploma,Event management
228,6.0,diploma,diploma if information technology system administration
229,4.0,certificate iv,Certifucate 4 in education support
230,4.0,certificate iv,Certificate 4 in Education Support
231,6.0,diploma,Diploma of early learning education
232,8.0,bachelor,Bachelor of sport physical and outdoor education
233,5.0,vce or vcal,Vcal intermediate
234,5.0,vce or vcal,Just continuing with my schooling in VCE
235,3.0,certificate iii,Carpentry
236,7.0,advanced diploma,Adv. Diploma of Mechanical Engineering
237,6.0,diploma,diploma in early childhood education and care
238,3.0,certificate iii,Cert 3 in Security
239,6.0,diploma,Diploma of building and construction
240,8.0,bachelor,Bachelor of Arts
241,8.0,bachelor,Engineering Professional
242,5.0,vce or vcal,Apprenticeship in carpentry
243,4.0,certificate iv,Youth work
244,10.0,,Electrical Contractors Course
245,10.0,,Creative textiles
246,3.0,certificate iii,Aviation training
247,4.0,certificate iv,Certificate IV in racing  (Racehorse Trainer)
248,8.0,bachelor,Bachelors of Art
249,3.0,certificate iii,Business administration
250,8.0,bachelor,Bachelor of Music
251,9.0,higher than a degree,Graduate Diploma of LLN Practices
252,8.0,bachelor,Bachelor of Education Studies (Early Childhood & Primary Teaching)
253,6.0,diploma,Community services
254,8.0,bachelor,Bachelor of Arts
255,6.0,diploma,Diploma of human resource
256,3.0,certificate iii,Certificate 3 in conservation and land management
257,4.0,certificate iv,Cert iv in aged and disability
258,4.0,certificate iv,INTELLIGENT TRAINING SOLOUTION
259,3.0,certificate iii,Education support
260,3.0,certificate iii,Certificatelll in early childhood and education
261,8.0,bachelor,Bachelor of sports development
262,9.0,higher than a degree,Master of Professional Psychology
263,8.0,bachelor,Bachelor of Business (Financial Planning/ Accounting)
264,10.0,,Literacy and numeracy
265,2.0,certificate ii,Edged care and disability
266,4.0,certificate iv,Education and support
267,3.0,certificate iii,Certificate 3 in Early Childhood Education and Cate
268,8.0,bachelor,bachelor of business
269,2.0,certificate ii,Atep. Advance community collage.
270,4.0,certificate iv,Engineering cert 4
271,9.0,higher than a degree,Bachelor of Fine Arts (Screenwriting)
272,4.0,certificate iv,Certificate iv in Patisserie
273,4.0,certificate iv,Building design
274,8.0,bachelor,Bachelor of Nursing
275,4.0,certificate iv,Certificate 4 in Disability
276,4.0,certificate iv,Certificate 4 bookkeeping and Accounting
277,3.0,certificate iii,Agriculture
278,7.0,advanced diploma,"Textile design, development and production"
279,4.0,certificate iv,Cert 4 training and assessment
280,6.0,diploma,Endorsed  Enrolled Nurse.
281,8.0,bachelor,Bachelor of Science
282,6.0,diploma,Diploma in Accounting
283,8.0,bachelor,Bachelor of Nursing
284,8.0,bachelor,BMUS
285,9.0,higher than a degree,Master of Teaching Early Learning and Primary
286,5.0,vce or vcal,VCE
287,4.0,certificate iv,Certificate 4 in building and construction
288,9.0,higher than a degree,Masters of Social Work
289,6.0,diploma,Diploma in Early Childhood
290,2.0,certificate ii,Ag schools
291,3.0,certificate iii,Certificate 3
292,8.0,bachelor,bachelor of build environment
293,3.0,certificate iii,Certificate III in Security Operations
294,7.0,advanced diploma,Advanced Diploma TExtile Design Development and Production
295,3.0,certificate iii,NEIS PROGRAM - Cert III in micro business
296,6.0,diploma,Property Development
297,10.0,,Agents Representatives Certificate
298,6.0,diploma,Diploma of construction Management
299,4.0,certificate iv,Cert IV of Aged Care
300,8.0,bachelor,"Accounting, bachelor of commerce"
301,8.0,bachelor,Chartered Financial Analyst
302,4.0,certificate iv,Hospitality
303,4.0,certificate iv,Cert 4 in drainage
304,4.0,certificate iv,Training and Assessment
305,6.0,diploma,Diploma of building and construction
306,6.0,diploma,Diploma in Early Childhood Education.
307,6.0,diploma,Diploma in Early Education
308,2.0,certificate ii,Certificate 2 in community pharmacy
309,6.0,diploma,Diploma of Accounting
310,4.0,certificate iv,Cert IV education support with TMG
311,4.0,certificate iv,Veterinary nursing IV
312,4.0,certificate iv,Certificate IV in Accounting and Bookkeeping
313,8.0,bachelor,Bachelor of Fine Arts
314,6.0,diploma,Same one
315,6.0,diploma,Diploma of Early Childhood education and care
316,8.0,bachelor,Bachelor of Nursing
317,6.0,diploma,Bachelor of Dementia
318,3.0,certificate iii,Carpentry
319,8.0,bachelor,Bachelor of Nursing
320,4.0,certificate iv,Beauty
321,3.0,certificate iii,Theatre technician
322,3.0,certificate iii,Forklift  but still not yet
323,3.0,certificate iii,cert 3 in light vechicle technology
324,10.0,,REIV Agent Representative Certificate (accredited course)
325,6.0,diploma,Diploma
326,3.0,certificate iii,Cookery
327,3.0,certificate iii,Cert III in health service assistant
328,6.0,diploma,"Conservation, Land and Management"
329,8.0,bachelor,Bachelor of nursing
330,8.0,bachelor,Commerce Degree
331,10.0,,traffic management and control refresher
332,8.0,bachelor,Building & Construction
333,10.0,,Introduction to the National Disability Insurance Scheme
334,4.0,certificate iv,certificate IV in community services
335,8.0,bachelor,Bachelor of nursing
336,4.0,certificate iv,Business IV
337,6.0,diploma,Diploma of nursing
338,3.0,certificate iii,Certificate III in animal studies specialising in vet nursing skills
339,4.0,certificate iv,Certificate 4 in Education Support
340,4.0,certificate iv,accounting and bookkeeping
341,4.0,certificate iv,Cert IV Disability
342,4.0,certificate iv,Cert. 4 Photography (Skill set)
343,2.0,certificate ii,Same course. Started from the beginning with Holmesglen.
344,4.0,certificate iv,Training And Assesment
345,3.0,certificate iii,Individual support
346,6.0,diploma,diploma of grahpic design
347,3.0,certificate iii,Certificate III in Auslan
348,3.0,certificate iii,Certificate III in Early Childhood Education and Care
349,6.0,diploma,Diploma of early childhood education and care
350,8.0,bachelor,EAl ll
351,6.0,diploma,Diploma in Early Childhood Development and Care
352,3.0,certificate iii,Food processing
353,8.0,bachelor,Bachelor of Information Technology
354,6.0,diploma,Diploma of Interior Design
355,8.0,bachelor,Bachelor of Nursing
356,6.0,diploma,Diploma of Nursing
357,8.0,bachelor,Bauchor of Business
358,4.0,certificate iv,Certificate 4 in patisserie
359,2.0,certificate ii,Certificate 2 in EAL
360,4.0,certificate iv,EAL Cert4
361,1.0,certificate i,Bachelor of marketing applied
362,6.0,diploma,Diploma in community services ( forensic child and family intervention)
363,8.0,bachelor,Bachelor of IT
364,3.0,certificate iii,Telecommunication Technology
365,10.0,,Yoga Teacher Training
366,4.0,certificate iv,Visual arts certificate 4
367,6.0,diploma,diploma early cholfhood rxuvsyion an care
368,3.0,certificate iii,Cert 3 hairdressing
369,8.0,bachelor,Bachelor of Primary Education
370,3.0,certificate iii,Certificate III in Aviation (Cabin Crew)
371,4.0,certificate iv,FNS40217 - Cert IV in Accounting & Bookkeeping
372,3.0,certificate iii,Certificate 3 patisserie
373,6.0,diploma,Diploma of health sciences
374,6.0,diploma,Diploma of community services
375,3.0,certificate iii,Outdoor power equipment and technology
376,3.0,certificate iii,Cert iii engineering
377,6.0,diploma,Diploma of Community Service
378,3.0,certificate iii,Animal studies
379,8.0,bachelor,Iron program
380,9.0,higher than a degree,Business management
381,6.0,diploma,Diploma of community services
382,4.0,certificate iv,Cert IV in plumbing
383,4.0,certificate iv,accounting
384,8.0,bachelor,Bachelor of Information Technology
385,3.0,certificate iii,First aid and traffic managment
386,5.0,vce or vcal,Electrical
387,4.0,certificate iv,Cert 4 Training and Assessment  Diploma VET Graduate Certificate Education
388,9.0,higher than a degree,Bachelors in early and primary education
389,1.0,certificate i,"RSA, RSG and RSF"
390,6.0,diploma,Diploma of Interpreting
391,4.0,certificate iv,Business management in automotive
392,6.0,diploma,diploma in early childhood education and care
393,8.0,bachelor,Bachelor of Biological Science
394,3.0,certificate iii,Early education
395,6.0,diploma,Diploma of counselling
396,6.0,diploma,Diploma of ECCE
397,3.0,certificate iii,Certificate III Hospitality - apprenticeship
398,8.0,bachelor,Bachelor of Applied Business (Marketing)
399,6.0,diploma,Diploma of Business
400,4.0,certificate iv,Cert 4 outdoor rec
401,8.0,bachelor,Bachelor of nursing
402,4.0,certificate iv,Cert4 in web technology
403,3.0,certificate iii,Certificate III of the same security course.
404,8.0,bachelor,Bachelor of biomedical science
405,4.0,certificate iv,Workplace Health and Safety
406,9.0,higher than a degree,Bachelor of Education/ Masters of Teaching (Secondary)
407,4.0,certificate iv,Creditional practicioner in life coaching
408,8.0,bachelor,Bachelor of Design & Bachelor of Business
409,3.0,certificate iii,Animal training
410,6.0,diploma,Diploma Visual arts Printmaking/ Painting
411,4.0,certificate iv,Education support
412,7.0,advanced diploma,Advanced deploma in community sector management
413,4.0,certificate iv,Same course as before. Certificate of Photography
414,4.0,certificate iv,Customer service
415,6.0,diploma,Diploma in Accounting
416,3.0,certificate iii,Beuaty
417,3.0,certificate iii,Cert 3 in plumbing
418,4.0,certificate iv,Certificate IV in Information Technology Networking
419,4.0,certificate iv,TAE update
420,4.0,certificate iv,Certificate 4 in Commercial Cookery
421,3.0,certificate iii,Certificate III in EAL (Access)
422,6.0,diploma,Diploma of Nursing
423,7.0,advanced diploma,"Advanced Diploma in Film and Television, Screen and Media"
424,6.0,diploma,Diploma in policing
425,4.0,certificate iv,Forests operations
426,8.0,bachelor,Social work
427,4.0,certificate iv,CCNA
428,8.0,bachelor,Bachelor of Arts/Science
429,7.0,advanced diploma,Diploma of building and construction management.
430,4.0,certificate iv,Cert 4 in information technology network
431,6.0,diploma,"Continued the diploma of nursing at skills training australia,"
432,4.0,certificate iv,Certificate IV visual arts. Again I have chosen to do only the practical subjects for this course.
433,6.0,diploma,Diploma in building and construction
434,9.0,higher than a degree,Master of TESOL
435,9.0,higher than a degree,Masters of Primary Teaching
436,8.0,bachelor,Bachelor of Education (Early Childhood and Primary)
437,8.0,bachelor,Bachelor of Music Performance
438,7.0,advanced diploma,Clinical intensive course
439,4.0,certificate iv,Certificate IV in Accounting and Bookkeeping
440,3.0,certificate iii,Cert 3 in companion animal services
441,3.0,certificate iii,ther Early childhood  Education and Care 3
442,10.0,,Year 2 of horticulture
443,8.0,bachelor,Bachelor of communication (journalism)
444,3.0,certificate iii,Certificate 3 in horticulture
445,6.0,diploma,Diploma of early childhood education and care and Diploma of school age care
446,1.0,certificate i,CAD for beginers
447,2.0,certificate ii,cert II workplace education
448,8.0,bachelor,Bachelor of Arts
449,3.0,certificate iii,"White csrd, traffic management, confined space"
450,3.0,certificate iii,General English .
451,6.0,diploma,Diploma of Early Childhood Education and Care
452,8.0,bachelor,media and communications
453,4.0,certificate iv,Cert IV Assessment and Training TAE40116
454,4.0,certificate iv,Cert 4 in Education Support
455,2.0,certificate ii,English language course
456,6.0,diploma,Diploma of Building and Construction
457,4.0,certificate iv,CERTIFICATE IV IN COMMERCIAL COOKERY (SIT40516)
458,6.0,diploma,Diploma in Business
459,3.0,certificate iii,AEL
460,4.0,certificate iv,AOD
461,8.0,bachelor,Bachelor is psychological science
462,6.0,diploma,Diploma in Early Learning Education
463,3.0,certificate iii,Business
464,6.0,diploma,Diploma of Health Sciences
465,3.0,certificate iii,Year 12
466,4.0,certificate iv,Certificate IV Lab Tech
467,8.0,bachelor,Bachelor of Engineering Honours (Industrial)
468,10.0,,Lateral Cephalomateric day-course.
469,10.0,,diploma of early childhood education and care.
470,6.0,diploma,Diploma of nursing at RMIT Bundoora
471,4.0,certificate iv,Disability
472,4.0,certificate iv,proeprty services
473,8.0,bachelor,bachelor of nursing
474,6.0,diploma,Teacher Education Preparation
475,8.0,bachelor,Bachelor of Nursing
476,3.0,certificate iii,Early childhood certificate III
477,8.0,bachelor,Bachelor of Zoology and Animal Science
478,3.0,certificate iii,"Cert 3 in Companion Animal Studies,starting in July"
479,10.0,,Construction Induction Training
480,3.0,certificate iii,Electrotechnology electrician
481,7.0,advanced diploma,Advanced Diploma Of Hospitality Management
482,4.0,certificate iv,Certificate 4 in youth work
483,8.0,bachelor,Nursing
484,2.0,certificate ii,General metal fabrication
485,8.0,bachelor,Bachelor of Resort and Hotel Management
486,8.0,bachelor,Bachelor of Early Childhood and education
487,3.0,certificate iii,Same one just different course
488,6.0,diploma,"Diploma of Nursing, completing as I chose not to enroll with the instutute Navitas sold out to."
489,3.0,certificate iii,Cake and pastry
490,7.0,advanced diploma,Advanced Diploma of Conveyancing
491,6.0,diploma,Diploma of Nursing
492,3.0,certificate iii,warehousing
493,6.0,diploma,Diploma in Early Childhood Education and Care
494,4.0,certificate iv,Certificate IV in Disability
495,4.0,certificate iv,Government
496,6.0,diploma,Nursing (currently studying)
497,2.0,certificate ii,Cert 2 Plumbing
498,3.0,certificate iii,Cert 3 electrotechnology (apprenticeship)
499,2.0,certificate ii,Cert II furniture making
500,2.0,certificate ii,Security and cert iii in individual support
501,3.0,certificate iii,Hospitality
502,3.0,certificate iii,Certificate III hairdressing
503,3.0,certificate iii,Auto Electrical
504,3.0,certificate iii,Education Support
505,10.0,,I have completed that course Food Handling and Brista coffee making
506,3.0,certificate iii,Certificate III in Carpentry
507,2.0,certificate ii,More learn english
508,3.0,certificate iii,Certificate 3 Security Operations
509,2.0,certificate ii,Indigenous art
510,8.0,bachelor,Bachelor of nursing
511,9.0,higher than a degree,Graduate certificate in construction management
512,3.0,certificate iii,Animal technology
513,10.0,,Electrical Spotting at WAM
514,6.0,diploma,Diploma of Information Technology
515,3.0,certificate iii,Certificate III electro technology
516,7.0,advanced diploma,Advanced Diploma of Business (PR)
517,7.0,advanced diploma,1. Advanced Diploma in Community Sector Management  2. Certificate IV in Training and Assessment
518,3.0,certificate iii,Certificate III in Community Services
519,2.0,certificate ii,Cert 2 in work education
520,6.0,diploma,Paramedicine
521,6.0,diploma,Diploma of Early Childhood Education
522,6.0,diploma,Diploma on ECEC
523,4.0,certificate iv,Cyber Security
524,4.0,certificate iv,Cert IV in Cybersecurity
525,3.0,certificate iii,Individual support
526,1.0,certificate i,English
527,7.0,advanced diploma,Teacher aide
528,6.0,diploma,Diploma of nursing
529,10.0,,Pathways enabling
530,4.0,certificate iv,Cert 4 in roofing and water
531,6.0,diploma,Diploma in building and construction
532,2.0,certificate ii,Hospitality
533,7.0,advanced diploma,Advance diploma of legal practice
534,6.0,diploma,Diploma in Mental Health
535,4.0,certificate iv,Certificate IV in Carpentry
536,6.0,diploma,Diploma of Nursing
537,6.0,diploma,Diploma in information technology
538,7.0,advanced diploma,Diploma of educational studies
539,8.0,bachelor,Bachelor of dermal science
540,3.0,certificate iii,Hairdressing (non apprenticeship)
541,6.0,diploma,Diploma of Dental Technology
542,8.0,bachelor,Bachelor of Islamic Studies
543,4.0,certificate iv,Cyber Security Cert iv
544,6.0,diploma,Diploma Early Childhood Education and Care
545,6.0,diploma,Diploma of Software Development
546,4.0,certificate iv,Cert 4 TAE
547,6.0,diploma,Dual Diploma in Mental Health and AOD
548,4.0,certificate iv,Certificate IV Visual Arts. I didn't complete this qualification in 2018 so have re-enrolled for February 2019 intake.
549,7.0,advanced diploma,Advanced Dioloma of Community Sector Management
550,8.0,bachelor,I have completed degree prior to this but they are in different fields nursing bs agriculture . I nurse and assist family farm
551,4.0,certificate iv,English
552,3.0,certificate iii,Certificate 3 in Electrotechnology
553,3.0,certificate iii,Cert 3 individual care
554,3.0,certificate iii,Childcare certificate-III
555,9.0,higher than a degree,bachelor of science
556,6.0,diploma,Diploma of financial counselling.
557,4.0,certificate iv,Certificat IV in disability
558,8.0,bachelor,Bachelor of arts
559,4.0,certificate iv,Training and Assessment
560,6.0,diploma,I have completed my diploma of community service at the same time as my justice diploma and am now completing my certificate three in corrections
561,7.0,advanced diploma,Advanced Diploma of building design
562,3.0,certificate iii,Individual support
563,8.0,bachelor,Bachelor of Design
564,3.0,certificate iii,"I am still in the process of completing my certificate lll, thank you"
565,2.0,certificate ii,Beauty in certificate ll
566,6.0,diploma,private
567,4.0,certificate iv,Certificate IV in Mental Health
568,8.0,bachelor,Bachelor of commerce
569,6.0,diploma,Diploma of Counselling
570,8.0,bachelor,Bachelor of Laws/International Relations
571,5.0,vce or vcal,Vce
572,6.0,diploma,Diploma of Event Management
573,1.0,certificate i,Certificate 1 in Adult literacy and numeracy
574,3.0,certificate iii,MC
575,4.0,certificate iv,CPC40110 Certificate IV in Building and Construction (Building)
576,3.0,certificate iii,Cert III in civil construction & plant operations
577,6.0,diploma,diploma child care
578,8.0,bachelor,Nursing
579,3.0,certificate iii,Plumbing cert3
580,8.0,bachelor,Bachelor of Arts
581,1.0,certificate i,AMEP
582,8.0,bachelor,BH073
583,8.0,bachelor,Bachelor of Business (HR)
584,4.0,certificate iv,Certificate 4 in Peer Support
585,6.0,diploma,Diploma of Travel & Tourism
586,10.0,,Its the same one.
587,3.0,certificate iii,Cert III commercial cookery
588,6.0,diploma,Film and Videography
589,3.0,certificate iii,Certificate III in Electrotechnology
590,6.0,diploma,Diploma of remedial massage
591,7.0,advanced diploma,Advanced diploma
592,4.0,certificate iv,Certificate 4 in Education Support
593,6.0,diploma,Diploma of Event Management
594,8.0,bachelor,Bachelor of nursing
595,3.0,certificate iii,carpentry
596,8.0,bachelor,Bachelor of Library and Information Management
597,7.0,advanced diploma,Advanced Diploma of Visual Art
598,7.0,advanced diploma,Hospitality
599,5.0,vce or vcal,Vcal intermediate
600,4.0,certificate iv,still finishing same coarse
601,4.0,certificate iv,Cert IV in Training and Assessment
602,8.0,bachelor,Bachelor of Teaching
603,4.0,certificate iv,In Edcucation support
604,10.0,,Business 1-2-3
605,2.0,certificate ii,Certificate 2 in security
